Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design effectiveness
12,12,12,12,1,1.000000,1.000000
12,24,12,12,1,1.000000,1.000000
12,48,12,12,1,1.000000,1.000000
12,96,12,12,1,1.000000,1.000000
12,192,12,12,1,1.000000,1.000000
12,384,12,12,1,1.000000,1.000000
12,768,12,12,1,1.000000,1.000000
12,1536,12,12,1,1.000000,1.000000
12,3072,12,12,1,1.000000,1.000000
12,6144,12,12,1,1.000000,1.000000
24,12,4,1,1,5.985700,1.873367
24,24,24,24,1,1.000000,1.000000
24,48,24,24,1,1.000000,1.000000
24,96,24,24,1,1.000000,1.000000
24,192,24,24,1,1.000000,1.000000
24,384,24,24,1,1.000000,1.000000
24,768,24,24,1,1.000000,1.000000
24,1536,24,24,1,1.000000,1.000000
24,3072,24,24,1,1.000000,1.000000
24,6144,24,24,1,1.000000,1.000000
48,12,8,1,1,4.615698,2.823276
48,24,4,1,1,11.971401,1.873367
48,48,48,48,1,1.000000,1.000000
48,96,48,48,1,1.000000,1.000000
48,192,48,48,1,1.000000,1.000000
48,384,48,48,1,1.000000,1.000000
48,768,48,48,1,1.000000,1.000000
48,1536,48,48,1,1.000000,1.000000
48,3072,48,48,1,1.000000,1.000000
48,6144,48,48,1,1.000000,1.000000
96,12,48,6,2,0.902461,3.161730
96,24,8,1,1,9.231395,2.823276
96,48,4,1,1,23.942802,1.873367
96,96,96,96,1,1.000000,1.000000
96,192,96,96,1,1.000000,1.000000
96,384,96,96,1,1.000000,1.000000
96,768,96,96,1,1.000000,1.000000
96,1536,96,96,1,1.000000,1.000000
96,3072,96,96,1,1.000000,1.000000
96,6144,96,96,1,1.000000,1.000000
192,12,48,6,2,0.902461,3.161730
192,24,96,12,2,0.963419,3.392330
192,48,96,12,2,1.629915,2.873372
192,96,4,1,1,47.885603,1.873367
192,192,192,192,1,1.000000,1.000000
192,384,192,192,1,1.000000,1.000000
192,768,192,192,1,1.000000,1.000000
192,1536,192,192,1,1.000000,1.000000
192,3072,192,192,1,1.000000,1.000000
192,6144,192,192,1,1.000000,1.000000
384,12,48,6,2,0.902461,3.161730
384,24,96,12,2,0.963419,3.392330
384,48,192,24,3,1.033441,3.529138
384,96,192,24,2,1.641253,2.878666
384,192,4,1,1,95.771207,1.873367
384,384,384,384,1,1.000000,1.000000
384,768,384,384,1,1.000000,1.000000
384,1536,384,384,1,1.000000,1.000000
384,3072,384,384,1,1.000000,1.000000
384,6144,384,384,1,1.000000,1.000000
768,12,48,6,2,0.902461,3.161730
768,24,96,12,2,0.963419,3.392330
768,48,192,24,3,1.033441,3.529138
768,96,384,48,3,1.066304,3.627706
768,192,384,48,2,1.642674,2.880286
768,384,4,1,1,191.542414,1.873367
768,768,768,768,1,1.000000,1.000000
768,1536,768,768,1,1.000000,1.000000
768,3072,768,768,1,1.000000,1.000000
768,6144,768,768,1,1.000000,1.000000
1536,12,48,6,2,0.902461,3.161730
1536,24,96,12,2,0.963419,3.392330
1536,48,192,24,3,1.033441,3.529138
1536,96,384,48,3,1.066304,3.627706
1536,192,768,96,3,1.081277,3.677746
1536,384,768,96,2,1.648023,2.885621
1536,768,4,1,1,383.084828,1.873367
1536,1536,1536,1536,1,1.000000,1.000000
1536,3072,1536,1536,1,1.000000,1.000000
1536,6144,1536,1536,1,1.000000,1.000000
3072,12,48,6,2,0.902461,3.161730
3072,24,96,12,2,0.963419,3.392330
3072,48,192,24,3,1.033441,3.529138
3072,96,384,48,3,1.066304,3.627706
3072,192,768,96,3,1.081277,3.677746
3072,384,768,96,3,2.162555,3.677746
3072,768,768,96,2,3.296047,2.885621
3072,1536,4,1,1,766.169655,1.873367
3072,3072,3072,3072,1,1.000000,1.000000
3072,6144,3072,3072,1,1.000000,1.000000
6144,12,48,6,2,0.902461,3.161730
6144,24,96,12,2,0.963419,3.392330
6144,48,192,24,3,1.033441,3.529138
6144,96,384,48,3,1.066304,3.627706
6144,192,768,96,3,1.081277,3.677746
6144,384,768,96,3,2.162555,3.677746
6144,768,768,96,3,4.325109,3.677746
6144,1536,768,96,2,6.592094,2.885621
6144,3072,4,1,1,1532.339310,1.873367
6144,6144,6144,6144,1,1.000000,1.000000
