Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design effectiveness
12,12,12,12,1,1.000000,1.000000
12,24,12,12,1,1.000000,1.000000
12,48,12,12,1,1.000000,1.000000
12,96,12,12,1,1.000000,1.000000
12,192,12,12,1,1.000000,1.000000
12,384,12,12,1,1.000000,1.000000
12,768,12,12,1,1.000000,1.000000
12,1536,12,12,1,1.000000,1.000000
12,3072,12,12,1,1.000000,1.000000
12,6144,12,12,1,1.000000,1.000000
24,12,4,1,1,5.916160,1.906557
24,24,24,24,1,1.000000,1.000000
24,48,24,24,1,1.000000,1.000000
24,96,24,24,1,1.000000,1.000000
24,192,24,24,1,1.000000,1.000000
24,384,24,24,1,1.000000,1.000000
24,768,24,24,1,1.000000,1.000000
24,1536,24,24,1,1.000000,1.000000
24,3072,24,24,1,1.000000,1.000000
24,6144,24,24,1,1.000000,1.000000
48,12,8,1,1,4.256284,2.696422
48,24,4,1,1,11.832320,1.906557
48,48,48,48,1,1.000000,1.000000
48,96,48,48,1,1.000000,1.000000
48,192,48,48,1,1.000000,1.000000
48,384,48,48,1,1.000000,1.000000
48,768,48,48,1,1.000000,1.000000
48,1536,48,48,1,1.000000,1.000000
48,3072,48,48,1,1.000000,1.000000
48,6144,48,48,1,1.000000,1.000000
96,12,8,1,1,4.377382,2.772368
96,24,48,6,2,1.442049,2.696703
96,48,4,1,1,23.664639,1.906557
96,96,96,96,1,1.000000,1.000000
96,192,96,96,1,1.000000,1.000000
96,384,96,96,1,1.000000,1.000000
96,768,96,96,1,1.000000,1.000000
96,1536,96,96,1,1.000000,1.000000
96,3072,96,96,1,1.000000,1.000000
96,6144,96,96,1,1.000000,1.000000
192,12,8,1,1,4.377382,2.772368
192,24,48,6,2,1.567507,2.929169
192,48,96,12,2,1.482011,2.752435
192,96,4,1,1,47.329278,1.906557
192,192,192,192,1,1.000000,1.000000
192,384,192,192,1,1.000000,1.000000
192,768,192,192,1,1.000000,1.000000
192,1536,192,192,1,1.000000,1.000000
192,3072,192,192,1,1.000000,1.000000
192,6144,192,192,1,1.000000,1.000000
384,12,8,1,1,4.377382,2.772368
384,24,48,6,2,1.567507,2.929169
384,48,96,12,2,1.669015,3.096052
384,96,192,48,3,1.491032,2.760532
384,192,4,1,1,94.658556,1.906557
384,384,384,384,1,1.000000,1.000000
384,768,384,384,1,1.000000,1.000000
384,1536,384,384,1,1.000000,1.000000
384,3072,384,384,1,1.000000,1.000000
384,6144,384,384,1,1.000000,1.000000
768,12,8,1,1,4.377382,2.772368
768,24,48,6,2,1.567507,2.929169
768,48,96,12,2,1.669015,3.096052
768,96,384,48,3,0.901196,3.288828
768,192,384,48,2,1.501484,2.786045
768,384,4,1,1,189.317113,1.906557
768,768,768,768,1,1.000000,1.000000
768,1536,768,768,1,1.000000,1.000000
768,3072,768,768,1,1.000000,1.000000
768,6144,768,768,1,1.000000,1.000000
1536,12,8,1,1,4.377382,2.772368
1536,24,48,6,2,1.567507,2.929169
1536,48,96,12,2,1.669015,3.096052
1536,96,384,48,3,0.901196,3.288828
1536,192,768,96,3,0.919304,3.349991
1536,384,768,96,2,1.505185,2.787605
1536,768,4,1,1,378.634225,1.906557
1536,1536,1536,1536,1,1.000000,1.000000
1536,3072,1536,1536,1,1.000000,1.000000
1536,6144,1536,1536,1,1.000000,1.000000
3072,12,8,1,1,4.377382,2.772368
3072,24,48,6,2,1.567507,2.929169
3072,48,96,12,2,1.669015,3.096052
3072,96,384,48,3,0.901196,3.288828
3072,192,768,96,3,0.919304,3.349991
3072,384,768,96,3,1.838608,3.349991
3072,768,768,96,2,3.010370,2.787605
3072,1536,4,1,1,757.268451,1.906557
3072,3072,3072,3072,1,1.000000,1.000000
3072,6144,3072,3072,1,1.000000,1.000000
6144,12,8,1,1,4.377382,2.772368
6144,24,48,6,2,1.567507,2.929169
6144,48,96,12,2,1.669015,3.096052
6144,96,384,48,3,0.901196,3.288828
6144,192,768,96,3,0.919304,3.349991
6144,384,768,96,3,1.838608,3.349991
6144,768,768,96,3,3.677216,3.349991
6144,1536,768,96,2,6.020739,2.787605
6144,3072,4,1,1,1514.536902,1.906557
6144,6144,6144,6144,1,1.000000,1.000000
