raw_x,raw_y,i,t,obs
4.015209125,7.892857143,1,4,7.893
5.007604563,4.035714286,1,5,4.036
6,0,1,6,0
6.958174905,1.285714286,1,7,1.286
8.019011407,3.107142857,1,8,3.107
8.977186312,1.821428571,1,9,1.821
10.03802281,2.678571429,1,10,2.679
10.99619772,1.071428571,1,11,1.071
11.95437262,1.964285714,1,12,1.964
12.98098859,0,1,13,0
13.9391635,3.107142857,1,14,3.107
15,0,1,15,0
16.02661597,0,1,16,0
17.01901141,0,1,17,0
18.01140684,0,1,18,0
18.93536122,0,1,19,0
19.96197719,0,1,20,0
20.98859316,0,1,21,0
21.98098859,0,1,22,0
2.932560224,7.747997339,2,3,7.748
3.979207033,6.171896238,2,4,6.172
4.991150698,4.953092918,2,5,4.953
5.933225368,4.520315799,2,6,4.52
7.004164377,4.194106249,2,7,4.194
7.994823448,1.261112236,2,8,1.261
8.98987825,2.64952717,2,9,2.65
9.966887417,1.82373695,2,10,1.824
11.01677319,-0.252378611,2,11,0
11.98892391,-0.328147141,2,12,0
12.98397872,1.060267793,2,13,1.06
13.98759363,1.12721594,2,14,1.127
15.03354637,-0.341739206,2,15,0
16.00546575,-0.381792417,2,16,0
17.0412389,-0.279273548,2,17,0
18.04531652,-0.283756037,2,18,0
19.08224645,-0.35981376,2,19,0
20.02131351,-0.328291738,2,20,0
3.940641689,6.211178605,3,4,6.211
4.991438705,4.310815769,3,5,4.311
5.981898977,3.839455339,3,6,3.839
7.007419789,3.510701618,3,7,3.511
7.960169595,2.432467691,3,8,2.432
8.983244323,1.675160015,3,9,1.675
9.965754821,-0.189000775,3,10,0
10.93460802,1.554078845,3,11,1.554
11.96094419,1.368176444,3,12,1.368
12.95853887,2.146765054,3,13,2.147
13.93839945,-0.181662522,3,14,0
14.99959232,-0.260671042,3,15,0
15.96273798,0.482449346,3,16,0.482
16.98581271,-0.274858331,3,17,0
17.95140446,0.896816014,3,18,0.897
18.98202128,1.460883036,3,19,1.461
19.97370459,1.203799584,3,20,1.204
20.95845734,-0.267520078,3,21,0
22.02005789,-0.275102939,3,22,0
3.917013661,6.473372781,4,4,6.473
4.942837315,5.053254438,4,5,5.053
6.003725619,2.816568047,4,6,2.817
6.925816349,3.562130178,4,7,3.562
7.98597414,1.467455621,4,8,1.467
9.036269998,1.289940828,4,9,1.29
9.968953174,0,4,10,0
11.01833589,0,4,11,0
11.99923296,1.289940828,4,12,1.29
12.98560888,1.538461538,4,13,1.538
14.01234568,0,4,14,0
14.9691358,0,4,15,0
16.04956534,0,4,16,0
17.03721967,0,4,17,0
18.14796552,0,4,18,0
19.0433925,0,4,19,0
4.127731092,8.776470588,5,4,8.776
5.084033613,5.6,5,5,5.6
6.054789916,5.458823529,5,6,5.459
7.098655462,2.670588235,5,7,2.671
8.081008403,4.964705882,5,8,4.965
9.044201681,3.235294118,5,9,3.235
10.07159664,2.988235294,5,10,2.988
11.03478992,1.258823529,5,11,1.259
12.02857143,-0.047058824,5,12,0
13.00756303,1.541176471,5,13,1.541
14.00840336,1.717647059,5,14,1.718
15.00739496,1.505882353,5,15,1.506
16.00789916,1.611764706,5,16,1.612
16.97915966,1.576470588,5,17,1.576
17.94252101,-0.117647059,5,18,0
18.92252101,1.682352941,5,19,1.682
5.949367089,4.210526316,6,6,4.211
6.911392405,3.684210526,6,7,3.684
8,3.543859649,6,8,3.544
8.962025316,3.50877193,6,9,3.509
9.974683544,1.684210526,6,10,1.684
10.96202532,2.140350877,6,11,2.14
11.97468354,2,6,12,2
12.98734177,1.684210526,6,13,1.684
13.92405063,2.49122807,6,14,2.491
14.98734177,1.789473684,6,15,1.789
16.02531646,-0.245614035,6,16,0
17.01265823,-0.175438596,6,17,0
18,1.228070175,6,18,1.228
19.01265823,1.614035088,6,19,1.614
3.889644797,5.938788132,7,4,5.939
6.922490598,4.187179273,7,7,4.187
7.916890932,3.508700376,7,8,3.509
8.908432929,3.504788968,7,9,3.505
9.907195988,7.796707062,7,10,7.797
10.95831174,5.733389051,7,11,5.733
11.9330046,3.70587547,7,12,3.706
12.94846636,4.05689929,7,13,4.057
13.96844129,3.342816548,7,14,3.343
14.98119515,4.332904304,7,15,4.333
15.98191392,2.163276222,7,16,2.163
17.02129545,2.86923527,7,17,2.869
1.96373057,4.059171598,8,2,4.059
2.943005181,5.053254438,8,3,5.053
4.974093264,5.408284024,8,5,5.408
5.971502591,4.769230769,8,6,4.769
6.987046632,4.911242604,8,7,4.911
7.984455959,2.390532544,8,8,2.391
9,1.786982249,8,9,1.787
10.03367876,-0.343195266,8,10,0
11.03108808,1.25443787,8,11,1.254
7.982673267,3.642857143,9,8,3.643
9,2.892857143,9,9,2.893
10.00282885,0.75,9,10,0.75
10.98986327,-0.178571429,9,11,0
12.00954738,-0.214285714,9,12,0
