values,names,indiv,fixed,lower_bound,upper_bound,steps
1,sd,0,0,0,10,0.1
2,lod,0,1,0,2,0.1
100,max_titre,0,1,0,100,0.1
8,viral_peak_mean,0,0,-100,100,0.1
1,viral_peak_sd,0,0,0,10,0.1
0.5,wane_mean,0,0,-10,10,0.1
0.2,wane_sd,0,0,0,10,0.1
3,tp_mean,0,0,-100,100,0.1
0.2,tp_sd,0,0,0,5,0.1
0.3,rho_viral_wane,0,0,-1,1,0.1
0.05,rho_viral_tp,0,0,-1,1,0.1
0,rho_wane_tp,0,0,-1,1,0.1
8,viral_peak,1,0,0,100,0.1
4,tp,1,0,-100,100,0.1
0.15,wane,1,0,0,2,0.1
8,viral_peak,2,0,0,100,0.1
4,tp,2,0,-100,100,0.1
0.15,wane,2,0,0,2,0.1
8,viral_peak,3,0,0,100,0.1
4,tp,3,0,-100,100,0.1
0.15,wane,3,0,0,2,0.1
8,viral_peak,4,0,0,100,0.1
4,tp,4,0,-100,100,0.1
0.15,wane,4,0,0,2,0.1
8,viral_peak,5,0,0,100,0.1
4,tp,5,0,-100,100,0.1
0.15,wane,5,0,0,2,0.1
8,viral_peak,6,0,0,100,0.1
4,tp,6,0,-100,100,0.1
0.15,wane,6,0,0,2,0.1
8,viral_peak,7,0,0,100,0.1
4,tp,7,0,-100,100,0.1
0.15,wane,7,0,0,2,0.1
8,viral_peak,8,0,0,100,0.1
4,tp,8,0,-100,100,0.1
0.15,wane,8,0,0,2,0.1
8,viral_peak,9,0,0,100,0.1
4,tp,9,0,-100,100,0.1
0.15,wane,9,0,0,2,0.1
