runname,chain_no,t0_val,t0_fixed,r_local_sd,serial_interval_fixed,t_switch_fixed,r_local_prior,travellers,t_switch_val
main,1,37,1,0.25,1,1,1,1,86
t_switch_1,1,37,1,0.25,1,1,1,1,84
t_switch_2,1,37,1,0.25,1,1,1,1,85
t_switch_3,1,37,1,0.25,1,1,1,1,87
t_switch_4,1,37,1,0.25,1,1,1,1,88
t_switch_5,1,37,1,0.25,1,1,1,1,89
t_switch_6,1,37,1,0.25,1,1,1,1,90
earliest_seed,1,22,1,0.25,1,1,1,1,86
early_seed,1,31,1,0.25,1,1,1,1,86
diffuse_r_local,1,37,1,1,1,1,1,1,86
fewer_travellers,1,37,1,0.25,1,1,1,2,86
main,2,37,1,0.25,1,1,1,1,86
t_switch_1,2,37,1,0.25,1,1,1,1,84
t_switch_2,2,37,1,0.25,1,1,1,1,85
t_switch_3,2,37,1,0.25,1,1,1,1,87
t_switch_4,2,37,1,0.25,1,1,1,1,88
t_switch_5,2,37,1,0.25,1,1,1,1,89
t_switch_6,2,37,1,0.25,1,1,1,1,90
earliest_seed,2,22,1,0.25,1,1,1,1,86
early_seed,2,31,1,0.25,1,1,1,1,86
diffuse_r_local,2,37,1,1,1,1,1,1,86
fewer_travellers,2,37,1,0.25,1,1,1,2,86
main,3,37,1,0.25,1,1,1,1,86
t_switch_1,3,37,1,0.25,1,1,1,1,84
t_switch_2,3,37,1,0.25,1,1,1,1,85
t_switch_3,3,37,1,0.25,1,1,1,1,87
t_switch_4,3,37,1,0.25,1,1,1,1,88
t_switch_5,3,37,1,0.25,1,1,1,1,89
t_switch_6,3,37,1,0.25,1,1,1,1,90
earliest_seed,3,22,1,0.25,1,1,1,1,86
early_seed,3,31,1,0.25,1,1,1,1,86
diffuse_r_local,3,37,1,1,1,1,1,1,86
fewer_travellers,3,37,1,0.25,1,1,1,2,86
