t,inc
0,0
1,3.28e-6
2,1.76e-6
3,2.56e-6
4,2.48e-6
5,2.4e-6
6,1.76e-6
7,1.76e-6
8,3.04e-6
9,2.24e-6
10,2.88e-6
11,3.68e-6
12,2.8e-6
13,3.36e-6
14,4.88e-6
15,3.92e-6
16,5.04e-6
17,4.4e-6
18,6.16e-6
19,7.2e-6
20,6.64e-6
21,7.6e-6
22,7.04e-6
23,9.12e-6
24,8.16e-6
25,1.048e-5
26,1.176e-5
27,1.08e-5
28,1.424e-5
29,1.448e-5
30,1.792e-5
31,1.792e-5
32,1.928e-5
33,2.016e-5
34,2.104e-5
35,2.256e-5
36,2.408e-5
37,2.864e-5
38,3.024e-5
39,3.352e-5
40,3.784e-5
41,4.056e-5
42,4.192e-5
43,4.752e-5
44,5.432e-5
45,5.896e-5
46,5.968e-5
47,7.072e-5
48,7.44e-5
49,8.48e-5
50,8.496e-5
51,9.728e-5
52,1.02e-4
53,1.1896e-4
54,1.2152e-4
55,1.396e-4
56,1.4568e-4
57,1.5528e-4
58,1.7544e-4
59,1.9432e-4
60,2.0824e-4
61,2.252e-4
62,2.3944e-4
63,2.4744e-4
64,2.924e-4
65,3.1704e-4
66,3.5296e-4
67,3.6624e-4
68,4.1088e-4
69,4.5536e-4
70,4.8792e-4
71,5.3832e-4
72,5.7512e-4
73,6.3416e-4
74,6.8408e-4
75,7.3568e-4
76,7.736e-4
77,7.9504e-4
78,8.2936e-4
79,8.0432e-4
80,7.8512e-4
81,7.3232e-4
82,6.6488e-4
83,5.9784e-4
84,5.48e-4
85,5.0152e-4
86,4.8304e-4
87,4.668e-4
88,4.4152e-4
89,4.4488e-4
90,4.4896e-4
91,4.4416e-4
92,4.4872e-4
93,4.6544e-4
94,4.436e-4
95,4.5944e-4
96,4.5864e-4
97,4.3576e-4
98,4.3304e-4
99,4.3144e-4
100,4.2552e-4
101,4.0712e-4
102,4.2104e-4
103,4.1712e-4
104,4.1472e-4
105,3.9984e-4
106,4.1288e-4
107,3.8688e-4
108,3.8584e-4
109,3.724e-4
110,3.66e-4
111,3.812e-4
112,3.7448e-4
113,3.6672e-4
114,3.5848e-4
115,3.6944e-4
116,3.52e-4
117,3.4704e-4
118,3.5008e-4
119,3.424e-4
120,3.4064e-4
121,3.2696e-4
122,3.2904e-4
123,3.2168e-4
124,3.0888e-4
125,3.196e-4
126,3.1144e-4
127,3.1048e-4
128,3.0072e-4
129,3.0032e-4
130,3.0376e-4
131,2.832e-4
132,2.8312e-4
133,2.7496e-4
134,2.8056e-4
135,2.828e-4
136,2.7112e-4
137,2.6528e-4
138,2.6136e-4
139,2.6424e-4
140,2.5104e-4
141,2.46e-4
142,2.5264e-4
143,2.4792e-4
144,2.4176e-4
145,2.4136e-4
146,2.5696e-4
147,2.5584e-4
148,2.7096e-4
149,2.9464e-4
150,3.0816e-4
151,3.4216e-4
152,3.6728e-4
153,3.9088e-4
154,4.0968e-4
155,4.2592e-4
156,4.4736e-4
157,4.5504e-4
158,4.6544e-4
159,4.9552e-4
160,4.9792e-4
161,5.224e-4
162,5.3632e-4
163,5.6664e-4
164,5.7024e-4
165,5.816e-4
166,6.0688e-4
167,6.22e-4
168,6.6016e-4
169,6.592e-4
170,6.8664e-4
171,7.06e-4
172,7.304e-4
173,7.496e-4
174,7.7416e-4
175,8.0512e-4
176,8.4376e-4
177,8.7192e-4
178,8.812e-4
179,9.0232e-4
180,9.4656e-4
181,9.824e-4
182,0.00100872
183,0.00104864
184,0.00106768
185,0.00110208
186,0.0011304
187,0.00118208
188,0.00121384
189,0.00123784
190,0.00127416
191,0.00132848
192,0.00135784
193,0.00140616
194,0.00143728
195,0.00148616
196,0.00153024
197,0.00157384
198,0.00163632
199,0.00165248
200,0.0017228
