t,prev
0,0
1,0
2,0
3,4.8e-7
4,2.72e-6
5,4.48e-6
6,6.72e-6
7,9.44e-6
8,1.088e-5
9,1.24e-5
10,1.36e-5
11,1.544e-5
12,1.872e-5
13,2.216e-5
14,2.464e-5
15,2.752e-5
16,3.112e-5
17,3.384e-5
18,3.728e-5
19,3.984e-5
20,4.352e-5
21,4.608e-5
22,4.904e-5
23,5.288e-5
24,5.688e-5
25,6.312e-5
26,6.768e-5
27,7.312e-5
28,8.08e-5
29,8.72e-5
30,9.552e-5
31,1.0568e-4
32,1.152e-4
33,1.2784e-4
34,1.3864e-4
35,1.52e-4
36,1.6568e-4
37,1.8088e-4
38,1.9712e-4
39,2.1208e-4
40,2.2776e-4
41,2.4848e-4
42,2.7032e-4
43,2.9496e-4
44,3.212e-4
45,3.5288e-4
46,3.872e-4
47,4.2608e-4
48,4.644e-4
49,5.0712e-4
50,5.504e-4
51,6.0088e-4
52,6.564e-4
53,7.148e-4
54,7.7248e-4
55,8.4552e-4
56,9.2224e-4
57,0.00101408
58,0.00110248
59,0.00119568
60,0.00129992
61,0.00142248
62,0.0015488
63,0.00169392
64,0.00184144
65,0.0020052
66,0.00218408
67,0.0023676
68,0.00258576
69,0.0028136
70,0.00306136
71,0.00334184
72,0.00364328
73,0.00396808
74,0.00432704
75,0.00471776
76,0.00513744
77,0.00557336
78,0.00607696
79,0.0065872
80,0.00709816
81,0.00762464
82,0.00811296
83,0.00855856
84,0.00893688
85,0.00921664
86,0.00939912
87,0.00950176
88,0.0095048
89,0.00943768
90,0.00929952
91,0.00912472
92,0.008908
93,0.0086836
94,0.00842552
95,0.0081668
96,0.007906
97,0.00766448
98,0.00742176
99,0.007226
100,0.00704168
101,0.006874
102,0.00672416
103,0.00661928
104,0.00651848
105,0.0064392
106,0.00637608
107,0.00630952
108,0.0062704
109,0.00620944
110,0.00613264
111,0.00606448
112,0.00598408
113,0.00590616
114,0.00583504
115,0.00575744
116,0.00569584
117,0.00563584
118,0.00557352
119,0.00549448
120,0.00542432
121,0.00536624
122,0.00531416
123,0.00525848
124,0.00519736
125,0.005128
126,0.0050548
127,0.00498512
128,0.00493544
129,0.00489016
130,0.00482928
131,0.0047704
132,0.00471296
133,0.00464872
134,0.00458968
135,0.00451752
136,0.00445864
137,0.00439256
138,0.0043356
139,0.00428096
140,0.00422912
141,0.00417944
142,0.00412136
143,0.00406312
144,0.0039968
145,0.00395264
146,0.00390776
147,0.00385288
148,0.00380808
149,0.00375992
150,0.00373488
151,0.00373016
152,0.00372824
153,0.00375712
154,0.00381248
155,0.00391704
156,0.00403232
157,0.0041656
158,0.00431504
159,0.00449016
160,0.00469032
161,0.00489152
162,0.00510976
163,0.0053436000000000004
164,0.0055776
165,0.00580616
166,0.00605552
167,0.00629784
168,0.0065636
169,0.00680208
170,0.007058
171,0.00729112
172,0.007534
173,0.0077736
174,0.00803624
175,0.00830504
176,0.00857008
177,0.0088392
178,0.009134
179,0.00943544
180,0.0097448
181,0.01006984
182,0.0103788
183,0.01070472
184,0.011064
185,0.01143768
186,0.01180968
187,0.01220448
188,0.0125864
189,0.01300392
190,0.01343648
191,0.01385424
192,0.01428008
193,0.0147396
194,0.01521056
195,0.0156836
196,0.01615928
197,0.01665896
198,0.0171876
199,0.01768696
200,0.01823192
