Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design effectiveness
12,12,12,12,1,1.000000,1.000000
12,24,12,12,1,1.000000,1.000000
12,48,12,12,1,1.000000,1.000000
12,96,12,12,1,1.000000,1.000000
12,192,12,12,1,1.000000,1.000000
12,384,12,12,1,1.000000,1.000000
12,768,12,12,1,1.000000,1.000000
12,1536,12,12,1,1.000000,1.000000
12,3072,12,12,1,1.000000,1.000000
12,6144,12,12,1,1.000000,1.000000
24,12,4,1,1,6.000000,1.827103
24,24,24,24,1,1.000000,1.000000
24,48,24,24,1,1.000000,1.000000
24,96,24,24,1,1.000000,1.000000
24,192,24,24,1,1.000000,1.000000
24,384,24,24,1,1.000000,1.000000
24,768,24,24,1,1.000000,1.000000
24,1536,24,24,1,1.000000,1.000000
24,3072,24,24,1,1.000000,1.000000
24,6144,24,24,1,1.000000,1.000000
48,12,8,1,1,5.998164,3.503598
48,24,4,1,1,12.000000,1.827103
48,48,48,48,1,1.000000,1.000000
48,96,48,48,1,1.000000,1.000000
48,192,48,48,1,1.000000,1.000000
48,384,48,48,1,1.000000,1.000000
48,768,48,48,1,1.000000,1.000000
48,1536,48,48,1,1.000000,1.000000
48,3072,48,48,1,1.000000,1.000000
48,6144,48,48,1,1.000000,1.000000
96,12,48,6,2,1.539643,5.028576
96,24,8,1,1,11.996327,3.503598
96,48,4,1,1,24.000000,1.827103
96,96,96,96,1,1.000000,1.000000
96,192,96,96,1,1.000000,1.000000
96,384,96,96,1,1.000000,1.000000
96,768,96,96,1,1.000000,1.000000
96,1536,96,96,1,1.000000,1.000000
96,3072,96,96,1,1.000000,1.000000
96,6144,96,96,1,1.000000,1.000000
192,12,96,6,2,0.948636,5.926891
192,24,96,6,2,1.695093,5.336012
192,48,8,1,1,23.992654,3.503598
192,96,4,1,1,48.000000,1.827103
192,192,192,192,1,1.000000,1.000000
192,384,192,192,1,1.000000,1.000000
192,768,192,192,1,1.000000,1.000000
192,1536,192,192,1,1.000000,1.000000
192,3072,192,192,1,1.000000,1.000000
192,6144,192,192,1,1.000000,1.000000
384,12,96,6,2,0.948636,5.926891
384,24,192,12,3,1.125546,6.724844
384,48,384,24,2,0.906089,5.660593
384,96,8,1,1,47.985309,3.503598
384,192,4,1,1,96.000000,1.827103
384,384,384,384,1,1.000000,1.000000
384,768,384,384,1,1.000000,1.000000
384,1536,384,384,1,1.000000,1.000000
384,3072,384,384,1,1.000000,1.000000
384,6144,384,384,1,1.000000,1.000000
768,12,96,6,2,0.948636,5.926891
768,24,192,12,3,1.125546,6.724844
768,48,384,24,3,1.238609,7.396690
768,96,768,48,2,0.911900,5.697235
768,192,8,1,1,95.970617,3.503598
768,384,4,1,1,192.000000,1.827103
768,768,768,768,1,1.000000,1.000000
768,1536,768,768,1,1.000000,1.000000
768,3072,768,768,1,1.000000,1.000000
768,6144,768,768,1,1.000000,1.000000
1536,12,96,6,2,0.948636,5.926891
1536,24,192,12,3,1.125546,6.724844
1536,48,384,24,3,1.238609,7.396690
1536,96,768,48,4,1.348482,7.786226
1536,192,1536,96,3,0.950512,5.726129
1536,384,8,1,1,191.941234,3.503598
1536,768,4,1,1,384.000000,1.827103
1536,1536,1536,1536,1,1.000000,1.000000
1536,3072,1536,1536,1,1.000000,1.000000
1536,6144,1536,1536,1,1.000000,1.000000
3072,12,96,6,2,0.948636,5.926891
3072,24,192,12,3,1.125546,6.724844
3072,48,384,24,3,1.238609,7.396690
3072,96,768,48,4,1.348482,7.786226
3072,192,1536,96,4,1.388342,8.043396
3072,384,1536,96,3,1.901024,5.726129
3072,768,8,1,1,383.882468,3.503598
3072,1536,4,1,1,768.000000,1.827103
3072,3072,3072,3072,1,1.000000,1.000000
3072,6144,3072,3072,1,1.000000,1.000000
6144,12,96,6,2,0.948636,5.926891
6144,24,192,12,3,1.125546,6.724844
6144,48,384,24,3,1.238609,7.396690
6144,96,768,48,4,1.348482,7.786226
6144,192,1536,96,4,1.388342,8.043396
6144,384,1536,96,4,2.776684,8.043396
6144,768,1536,96,3,3.802048,5.726129
6144,1536,8,1,1,767.764936,3.503598
6144,3072,4,1,1,1536.000000,1.827103
6144,6144,6144,6144,1,1.000000,1.000000
