Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design effectiveness
12,12,12,12,1,1.000000,1.000000
12,24,12,12,1,1.000000,1.000000
12,48,12,12,1,1.000000,1.000000
12,96,12,12,1,1.000000,1.000000
12,192,12,12,1,1.000000,1.000000
12,384,12,12,1,1.000000,1.000000
12,768,12,12,1,1.000000,1.000000
12,1536,12,12,1,1.000000,1.000000
12,3072,12,12,1,1.000000,1.000000
12,6144,12,12,1,1.000000,1.000000
24,12,2,1,1,11.635883,1.808401
24,24,24,24,1,1.000000,1.000000
24,48,24,24,1,1.000000,1.000000
24,96,24,24,1,1.000000,1.000000
24,192,24,24,1,1.000000,1.000000
24,384,24,24,1,1.000000,1.000000
24,768,24,24,1,1.000000,1.000000
24,1536,24,24,1,1.000000,1.000000
24,3072,24,24,1,1.000000,1.000000
24,6144,24,24,1,1.000000,1.000000
48,12,4,1,1,11.114591,3.152361
48,24,2,1,1,23.271765,1.808401
48,48,48,48,1,1.000000,1.000000
48,96,48,48,1,1.000000,1.000000
48,192,48,48,1,1.000000,1.000000
48,384,48,48,1,1.000000,1.000000
48,768,48,48,1,1.000000,1.000000
48,1536,48,48,1,1.000000,1.000000
48,3072,48,48,1,1.000000,1.000000
48,6144,48,48,1,1.000000,1.000000
96,12,16,1,1,5.682938,5.441968
96,24,4,1,1,22.229182,3.152361
96,48,2,1,1,46.543530,1.808401
96,96,96,96,1,1.000000,1.000000
96,192,96,96,1,1.000000,1.000000
96,384,96,96,1,1.000000,1.000000
96,768,96,96,1,1.000000,1.000000
96,1536,96,96,1,1.000000,1.000000
96,3072,96,96,1,1.000000,1.000000
96,6144,96,96,1,1.000000,1.000000
192,12,96,6,2,1.611604,8.172452
192,24,16,1,1,11.365876,5.441968
192,48,4,1,1,44.458365,3.152361
192,96,2,1,1,93.087061,1.808401
192,192,192,192,1,1.000000,1.000000
192,384,192,192,1,1.000000,1.000000
192,768,192,192,1,1.000000,1.000000
192,1536,192,192,1,1.000000,1.000000
192,3072,192,192,1,1.000000,1.000000
192,6144,192,192,1,1.000000,1.000000
384,12,192,6,2,1.223797,11.352666
384,24,384,24,3,0.908273,8.650578
384,48,16,1,1,22.731752,5.441968
384,96,4,1,1,88.916729,3.152361
384,192,2,1,1,186.174121,1.808401
384,384,384,384,1,1.000000,1.000000
384,768,384,384,1,1.000000,1.000000
384,1536,384,384,1,1.000000,1.000000
384,3072,384,384,1,1.000000,1.000000
384,6144,384,384,1,1.000000,1.000000
768,12,192,6,2,1.223797,11.352666
768,24,384,12,3,1.435596,12.463739
768,48,384,24,2,1.735429,8.786191
768,96,16,1,1,45.463504,5.441968
768,192,4,1,1,177.833459,3.152361
768,384,2,1,1,372.348243,1.808401
768,768,768,768,1,1.000000,1.000000
768,1536,768,768,1,1.000000,1.000000
768,3072,768,768,1,1.000000,1.000000
768,6144,768,768,1,1.000000,1.000000
1536,12,192,6,2,1.223797,11.352666
1536,24,768,12,3,1.031883,16.124176
1536,48,768,24,3,1.531620,13.258540
1536,96,768,48,2,1.752453,8.883122
1536,192,16,1,1,90.927007,5.441968
1536,384,4,1,1,355.666918,3.152361
1536,768,2,1,1,744.696486,1.808401
1536,1536,1536,1536,1,1.000000,1.000000
1536,3072,1536,1536,1,1.000000,1.000000
1536,6144,1536,1536,1,1.000000,1.000000
3072,12,192,6,2,1.223797,11.352666
3072,24,768,12,3,1.031883,16.124176
3072,48,1536,24,3,1.142522,17.862287
3072,96,1536,48,3,1.571014,13.614343
3072,192,1536,96,2,1.760848,8.920903
3072,384,16,1,1,181.854014,5.441968
3072,768,4,1,1,711.333836,3.152361
3072,1536,2,1,1,1489.392972,1.808401
3072,3072,3072,3072,1,1.000000,1.000000
3072,6144,3072,3072,1,1.000000,1.000000
6144,12,192,6,2,1.223797,11.352666
6144,24,768,12,3,1.031883,16.124176
6144,48,1536,24,3,1.142522,17.862287
6144,96,3072,48,4,1.267201,18.949362
6144,192,3072,96,3,1.594970,13.841959
6144,384,1536,96,2,3.521695,8.920903
6144,768,16,1,1,363.708029,5.441968
6144,1536,4,1,1,1422.667672,3.152361
6144,3072,2,1,1,2978.785944,1.808401
6144,6144,6144,6144,1,1.000000,1.000000
