Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design effectiveness
12,12,12,12,1,1.000000,1.000000
12,24,12,12,1,1.000000,1.000000
12,48,12,12,1,1.000000,1.000000
12,96,12,12,1,1.000000,1.000000
12,192,12,12,1,1.000000,1.000000
12,384,12,12,1,1.000000,1.000000
12,768,12,12,1,1.000000,1.000000
12,1536,12,12,1,1.000000,1.000000
12,3072,12,12,1,1.000000,1.000000
12,6144,12,12,1,1.000000,1.000000
24,12,4,1,1,6.000000,1.925600
24,24,24,24,1,1.000000,1.000000
24,48,24,24,1,1.000000,1.000000
24,96,24,24,1,1.000000,1.000000
24,192,24,24,1,1.000000,1.000000
24,384,24,24,1,1.000000,1.000000
24,768,24,24,1,1.000000,1.000000
24,1536,24,24,1,1.000000,1.000000
24,3072,24,24,1,1.000000,1.000000
24,6144,24,24,1,1.000000,1.000000
48,12,8,1,1,5.955896,3.737453
48,24,4,1,1,12.000000,1.925600
48,48,48,48,1,1.000000,1.000000
48,96,48,48,1,1.000000,1.000000
48,192,48,48,1,1.000000,1.000000
48,384,48,48,1,1.000000,1.000000
48,768,48,48,1,1.000000,1.000000
48,1536,48,48,1,1.000000,1.000000
48,3072,48,48,1,1.000000,1.000000
48,6144,48,48,1,1.000000,1.000000
96,12,16,1,1,5.047106,6.188949
96,24,8,1,1,11.911791,3.737453
96,48,4,1,1,24.000000,1.925600
96,96,96,96,1,1.000000,1.000000
96,192,96,96,1,1.000000,1.000000
96,384,96,96,1,1.000000,1.000000
96,768,96,96,1,1.000000,1.000000
96,1536,96,96,1,1.000000,1.000000
96,3072,96,96,1,1.000000,1.000000
96,6144,96,96,1,1.000000,1.000000
192,12,96,6,2,1.327360,9.490679
192,24,192,24,3,0.909051,6.512341
192,48,8,1,1,23.823583,3.737453
192,96,4,1,1,48.000000,1.925600
192,192,192,192,1,1.000000,1.000000
192,384,192,192,1,1.000000,1.000000
192,768,192,192,1,1.000000,1.000000
192,1536,192,192,1,1.000000,1.000000
192,3072,192,192,1,1.000000,1.000000
192,6144,192,192,1,1.000000,1.000000
384,12,96,6,2,1.327360,9.490679
384,24,192,12,3,1.448276,10.134872
384,48,384,48,3,0.918548,6.592308
384,96,8,1,1,47.647165,3.737453
384,192,4,1,1,96.000000,1.925600
384,384,384,384,1,1.000000,1.000000
384,768,384,384,1,1.000000,1.000000
384,1536,384,384,1,1.000000,1.000000
384,3072,384,384,1,1.000000,1.000000
384,6144,384,384,1,1.000000,1.000000
768,12,96,6,2,1.327360,9.490679
768,24,384,12,3,1.019312,13.915022
768,48,384,24,3,1.515679,10.593722
768,96,768,96,3,0.924407,6.628879
768,192,8,1,1,95.294330,3.737453
768,384,4,1,1,192.000000,1.925600
768,768,768,768,1,1.000000,1.000000
768,1536,768,768,1,1.000000,1.000000
768,3072,768,768,1,1.000000,1.000000
768,6144,768,768,1,1.000000,1.000000
1536,12,96,6,2,1.327360,9.490679
1536,24,384,12,3,1.019312,13.915022
1536,48,768,24,3,1.106148,15.020904
1536,96,768,48,3,1.554647,10.844237
1536,192,768,96,3,1.848813,6.628879
1536,384,8,1,1,190.588661,3.737453
1536,768,4,1,1,384.000000,1.925600
1536,1536,1536,1536,1,1.000000,1.000000
1536,3072,1536,1536,1,1.000000,1.000000
1536,6144,1536,1536,1,1.000000,1.000000
3072,12,96,6,2,1.327360,9.490679
3072,24,384,12,3,1.019312,13.915022
3072,48,768,12,3,1.136151,15.049423
3072,96,1536,48,4,1.180959,15.773294
3072,192,1536,96,4,1.596856,10.979997
3072,384,768,96,3,3.697627,6.628879
3072,768,8,1,1,381.177322,3.737453
3072,1536,4,1,1,768.000000,1.925600
3072,3072,3072,3072,1,1.000000,1.000000
3072,6144,3072,3072,1,1.000000,1.000000
6144,12,96,6,2,1.327360,9.490679
6144,24,384,12,3,1.019312,13.915022
6144,48,768,12,3,1.136151,15.049423
6144,96,1536,24,4,1.391834,17.984717
6144,192,3072,96,4,1.211025,16.201381
6144,384,1536,96,4,3.193711,10.979997
6144,768,768,96,3,7.395253,6.628879
6144,1536,8,1,1,762.354644,3.737453
6144,3072,4,1,1,1536.000000,1.925600
6144,6144,6144,6144,1,1.000000,1.000000
